JobID|State|ExitCode|Elapsed|MaxRSS|AllocCPUS
50497534_97.batch|COMPLETED|0:0|00:13:46|521396K|2
50497534_97.extern|COMPLETED|0:0|00:13:46||2
50497534_98|COMPLETED|0:0|00:12:46||2
50497534_98.batch|COMPLETED|0:0|00:12:46|527196K|2
50497534_98.extern|COMPLETED|0:0|00:12:46||2
50497534_99|COMPLETED|0:0|00:14:40||2
50497534_99.batch|COMPLETED|0:0|00:14:40|524776K|2
50497534_99.extern|COMPLETED|0:0|00:14:40||2
50497534_100|COMPLETED|0:0|00:01:38||2
50497534_100.batch|COMPLETED|0:0|00:01:38|517584K|2
50497534_100.extern|COMPLETED|0:0|00:01:38||2
50497534_101|COMPLETED|0:0|00:01:28||2
50497534_101.batch|COMPLETED|0:0|00:01:28|522716K|2
50497534_101.extern|COMPLETED|0:0|00:01:28||2
50497534_102|COMPLETED|0:0|00:01:28||2
50497534_102.batch|COMPLETED|0:0|00:01:28|518676K|2
50497534_102.extern|COMPLETED|0:0|00:01:29||2
50497534_103|COMPLETED|0:0|00:01:14||2
50497534_103.batch|COMPLETED|0:0|00:01:14|517296K|2
50497534_103.extern|COMPLETED|0:0|00:01:14||2
50497534_104|COMPLETED|0:0|00:01:31||2
50497534_104.batch|COMPLETED|0:0|00:01:31|523940K|2
50497534_104.extern|COMPLETED|0:0|00:01:31||2
50497534_105|COMPLETED|0:0|00:00:42||2
50497534_105.batch|COMPLETED|0:0|00:00:42|515948K|2
50497534_105.extern|COMPLETED|0:0|00:00:42||2
50497534_106|COMPLETED|0:0|00:00:42||2
50497534_106.batch|COMPLETED|0:0|00:00:42|520960K|2
50497534_106.extern|COMPLETED|0:0|00:00:42||2
50497534_107|COMPLETED|0:0|00:00:42||2
50497534_107.batch|COMPLETED|0:0|00:00:42|519004K|2
50497534_107.extern|COMPLETED|0:0|00:00:42||2
50497534_108|COMPLETED|0:0|00:00:42||2
50497534_108.batch|COMPLETED|0:0|00:00:42|521532K|2
50497534_108.extern|COMPLETED|0:0|00:00:42||2
50497534_109|COMPLETED|0:0|00:00:44||2
50497534_109.batch|COMPLETED|0:0|00:00:44|519804K|2
50497534_109.extern|COMPLETED|0:0|00:00:44||2
50497534_110|COMPLETED|0:0|00:14:17||2
50497534_110.batch|COMPLETED|0:0|00:14:17|524564K|2
50497534_110.extern|COMPLETED|0:0|00:14:17||2
50497534_111|COMPLETED|0:0|00:13:48||2
50497534_111.batch|COMPLETED|0:0|00:13:48|527344K|2
50497534_111.extern|COMPLETED|0:0|00:13:48||2
50497534_112|COMPLETED|0:0|00:14:23||2
50497534_112.batch|COMPLETED|0:0|00:14:23|522260K|2
50497534_112.extern|COMPLETED|0:0|00:14:23||2
50497534_113|COMPLETED|0:0|00:13:38||2
50497534_113.batch|COMPLETED|0:0|00:13:38|526876K|2
50497534_113.extern|COMPLETED|0:0|00:13:38||2
50497534_114|COMPLETED|0:0|00:03:04||2
50497534_114.batch|COMPLETED|0:0|00:03:04|523180K|2
50497534_114.extern|COMPLETED|0:0|00:03:04||2
50497534_115|COMPLETED|0:0|00:01:27||2
50497534_115.batch|COMPLETED|0:0|00:01:27|524768K|2
50497534_115.extern|COMPLETED|0:0|00:01:28||2
50497534_116|COMPLETED|0:0|00:01:35||2
50497534_116.batch|COMPLETED|0:0|00:01:35|520268K|2
50497534_116.extern|COMPLETED|0:0|00:01:35||2
50497534_117|COMPLETED|0:0|00:01:27||2
50497534_117.batch|COMPLETED|0:0|00:01:27|509.50M|2
50497534_117.extern|COMPLETED|0:0|00:01:27||2
50497534_118|COMPLETED|0:0|00:01:15||2
50497534_118.batch|COMPLETED|0:0|00:01:15|525584K|2
50497534_118.extern|COMPLETED|0:0|00:01:15||2
50497534_119|COMPLETED|0:0|00:01:11||2
50497534_119.batch|COMPLETED|0:0|00:01:11|518788K|2
50497534_119.extern|COMPLETED|0:0|00:01:11||2
50497534_120|COMPLETED|0:0|00:00:42||2
50497534_120.batch|COMPLETED|0:0|00:00:42|518908K|2
50497534_120.extern|COMPLETED|0:0|00:00:42||2
50497534_121|COMPLETED|0:0|00:00:43||2
50497534_121.batch|COMPLETED|0:0|00:00:43|516752K|2
50497534_121.extern|COMPLETED|0:0|00:00:43||2
50497534_122|COMPLETED|0:0|00:00:43||2
50497534_122.batch|COMPLETED|0:0|00:00:43|520232K|2
50497534_122.extern|COMPLETED|0:0|00:00:43||2
50497534_123|COMPLETED|0:0|00:00:43||2
50497534_123.batch|COMPLETED|0:0|00:00:43|515772K|2
50497534_123.extern|COMPLETED|0:0|00:00:43||2
50497534_124|COMPLETED|0:0|00:00:43||2
50497534_124.batch|COMPLETED|0:0|00:00:43|516304K|2
50497534_124.extern|COMPLETED|0:0|00:00:43||2
50497534_125|COMPLETED|0:0|00:03:06||2
50497534_125.batch|COMPLETED|0:0|00:03:06|522108K|2
50497534_125.extern|COMPLETED|0:0|00:03:06||2
50497534_126|COMPLETED|0:0|00:03:06||2
50497534_126.batch|COMPLETED|0:0|00:03:06|519056K|2
50497534_126.extern|COMPLETED|0:0|00:03:06||2
50497534_127|COMPLETED|0:0|00:13:54||2
50497534_127.batch|COMPLETED|0:0|00:13:54|523648K|2
50497534_127.extern|COMPLETED|0:0|00:13:54||2
50497534_128|COMPLETED|0:0|00:03:16||2
50497534_128.batch|COMPLETED|0:0|00:03:16|520868K|2
50497534_128.extern|COMPLETED|0:0|00:03:16||2
50497534_129|COMPLETED|0:0|00:14:37||2
50497534_129.batch|COMPLETED|0:0|00:14:37|520056K|2
50497534_129.extern|COMPLETED|0:0|00:14:37||2
50497534_130|COMPLETED|0:0|00:01:15||2
50497534_130.batch|COMPLETED|0:0|00:01:15|521480K|2
50497534_130.extern|COMPLETED|0:0|00:01:15||2
50497534_131|COMPLETED|0:0|00:01:10||2
50497534_131.batch|COMPLETED|0:0|00:01:10|520848K|2
50497534_131.extern|COMPLETED|0:0|00:01:10||2
50497534_132|COMPLETED|0:0|00:01:15||2
50497534_132.batch|COMPLETED|0:0|00:01:15|525176K|2
50497534_132.extern|COMPLETED|0:0|00:01:15||2
50497534_133|COMPLETED|0:0|00:01:34||2
50497534_133.batch|COMPLETED|0:0|00:01:34|525460K|2
50497534_133.extern|COMPLETED|0:0|00:01:34||2
50497534_134|COMPLETED|0:0|00:01:15||2
50497534_134.batch|COMPLETED|0:0|00:01:15|524656K|2
50497534_134.extern|COMPLETED|0:0|00:01:15||2
50497534_135|COMPLETED|0:0|00:00:42||2
50497534_135.batch|COMPLETED|0:0|00:00:42|518100K|2
50497534_135.extern|COMPLETED|0:0|00:00:42||2
50497534_136|COMPLETED|0:0|00:00:42||2
50497534_136.batch|COMPLETED|0:0|00:00:42|523700K|2
50497534_136.extern|COMPLETED|0:0|00:00:42||2
50497534_137|COMPLETED|0:0|00:00:42||2
50497534_137.batch|COMPLETED|0:0|00:00:42|518716K|2
50497534_137.extern|COMPLETED|0:0|00:00:42||2
50497534_138|COMPLETED|0:0|00:00:45||2
50497534_138.batch|COMPLETED|0:0|00:00:45|517920K|2
50497534_138.extern|COMPLETED|0:0|00:00:46||2
50497534_139|COMPLETED|0:0|00:00:42||2
50497534_139.batch|COMPLETED|0:0|00:00:42|516456K|2
50497534_139.extern|COMPLETED|0:0|00:00:42||2
50497534_140|COMPLETED|0:0|00:13:02||2
50497534_140.batch|COMPLETED|0:0|00:13:02|525272K|2
50497534_140.extern|COMPLETED|0:0|00:13:02||2
50497534_141|COMPLETED|0:0|00:12:39||2
50497534_141.batch|COMPLETED|0:0|00:12:39|525440K|2
50497534_141.extern|COMPLETED|0:0|00:12:39||2
50497534_142|COMPLETED|0:0|00:03:27||2
50497534_142.batch|COMPLETED|0:0|00:03:27|528180K|2
50497534_142.extern|COMPLETED|0:0|00:03:27||2
50497534_143|COMPLETED|0:0|00:13:52||2
50497534_143.batch|COMPLETED|0:0|00:13:52|526592K|2
50497534_143.extern|COMPLETED|0:0|00:13:52||2
50497534_144|COMPLETED|0:0|00:14:36||2
50497534_144.batch|COMPLETED|0:0|00:14:36|523384K|2
50497534_144.extern|COMPLETED|0:0|00:14:36||2
50497534_145|COMPLETED|0:0|00:01:14||2
50497534_145.batch|COMPLETED|0:0|00:01:14|524780K|2
50497534_145.extern|COMPLETED|0:0|00:01:14||2
50497534_146|COMPLETED|0:0|00:01:19||2
50497534_146.batch|COMPLETED|0:0|00:01:19|521984K|2
50497534_146.extern|COMPLETED|0:0|00:01:19||2
50497534_147|COMPLETED|0:0|00:01:14||2
